,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
110,(-0.0018086284399032593+6.77257776260376e-06j),(-0.0018175765872001648-3.8743019104003906e-07j),(-0.0017998069524765015+1.1116266250610352e-05j),(-0.001808948814868927-7.674098014831543e-07j),(-0.00179232656955719+1.955777406692505e-05j),(-0.0018201321363449097+2.428889274597168e-06j),(-0.0018123984336853027+7.02589750289917e-06j),(-0.001813545823097229-1.1123716831207275e-05j),(-0.001819618046283722-7.547438144683838e-06j),(-0.001805044710636139+4.723668098449707e-06j),(-0.0017995461821556091+1.8656253814697266e-05j),(-0.0018097758293151855+9.775161743164062e-06j),(-0.0018111169338226318+3.829598426818848e-06j),(-0.001811690628528595-4.351139068603516e-06j),(-0.0018157213926315308+2.808868885040283e-06j),(-0.0018115043640136719+3.956258296966553e-06j),(-0.001795843243598938+1.8656253814697266e-05j),(-0.0018098428845405579+1.0028481483459473e-05j),(-0.0018094554543495178+2.0325183868408203e-05j),(-0.0018162280321121216+1.4007091522216797e-06j),(-0.0018031895160675049+9.581446647644043e-06j)
111,(-0.0018171295523643494+2.294778823852539e-06j),(-0.0018118247389793396-1.2405216693878174e-05j),(-0.0018258839845657349-3.330409526824951e-06j),(-0.001812271773815155+3.0621886253356934e-06j),(-0.0018212199211120605-1.1548399925231934e-06j),(-0.0018226876854896545-2.0489096641540527e-06j),(-0.0018315687775611877-1.189112663269043e-05j),(-0.0018225610256195068-4.92483377456665e-06j),(-0.0018207058310508728-9.655952453613281e-06j),(-0.0018114373087882996+2.682209014892578e-06j),(-0.0018195509910583496-1.1548399925231934e-06j),(-0.0018168091773986816+4.082918167114258e-06j),(-0.0018038302659988403+9.901821613311768e-06j),(-0.0018106698989868164+4.149973392486572e-06j),(-0.0018073469400405884+2.555549144744873e-06j),(-0.0018093287944793701+2.2493302822113037e-05j),(-0.0018031895160675049+1.259148120880127e-05j),(-0.0018052980303764343+1.846998929977417e-05j),(-0.0018063858151435852+9.521842002868652e-06j),(-0.0018081143498420715+1.245737075805664e-05j),(-0.0018176361918449402+1.239776611328125e-05j)
112,(-0.0018213465809822083+5.684792995452881e-06j),(-0.0018215999007225037+1.8477439880371094e-06j),(-0.0018251165747642517+2.682209014892578e-06j),(-0.0018131658434867859-3.904104232788086e-06j),(-0.0018017888069152832+8.814036846160889e-06j),(-0.001819618046283722+4.9173831939697266e-06j),(-0.0018178969621658325+0j),(-0.0018090754747390747-6.2659382820129395e-06j),(-0.0018164217472076416+2.5331974029541016e-07j),(-0.0018145665526390076+9.395182132720947e-06j),(-0.0018217936158180237-1.2405216693878174e-05j),(-0.0018230080604553223+1.2665987014770508e-07j),(-0.001820005476474762+4.7907233238220215e-06j),(-0.0018176361918449402-4.857778549194336e-06j),(-0.001819424331188202-1.341104507446289e-07j),(-0.0018197447061538696-1.341104507446289e-07j),(-0.0018185973167419434-1.7955899238586426e-06j),(-0.0018127188086509705+5.170702934265137e-06j),(-0.0018224269151687622+9.842216968536377e-06j),(-0.0018174424767494202-5.140900611877441e-07j),(-0.0018328502774238586-1.0870397090911865e-05j)
113,(-0.00182294100522995-7.353723049163818e-06j),(-0.0018225610256195068+5.066394805908203e-07j),(-0.0018211528658866882+4.723668098449707e-06j),(-0.0018286332488059998-1.687556505203247e-05j),(-0.0018348321318626404-5.62518835067749e-06j),(-0.0018353387713432312-5.62518835067749e-06j),(-0.0018159151077270508-1.214444637298584e-06j),(-0.0018155276775360107+3.1962990760803223e-06j),(-0.0018137991428375244+9.395182132720947e-06j),(-0.001835152506828308-1.3940036296844482e-05j),(-0.0018292069435119629-8.188188076019287e-06j),(-0.0018165484070777893-4.604458808898926e-06j),(-0.0018347054719924927-1.2658536434173584e-05j),(-0.0018215999007225037+3.4496188163757324e-06j),(-0.0018275454640388489-2.175569534301758e-06j),(-0.0018223002552986145+3.7997961044311523e-07j),(-0.001835659146308899-1.1764466762542725e-05j),(-0.0018120110034942627+3.7997961044311523e-07j),(-0.0018141865730285645+1.1056661605834961e-05j),(-0.0018243491649627686-2.1860003471374512e-05j),(-0.0018298476934432983+7.599592208862305e-07j)
114,(-0.001816488802433014-6.3925981521606445e-06j),(-0.0018186569213867188+5.431473255157471e-06j),(-0.001813933253288269+4.984438419342041e-06j),(-0.0018113702535629272+5.170702934265137e-06j),(-0.0018171221017837524+1.6614794731140137e-06j),(-0.0018241554498672485+5.066394805908203e-07j),(-0.001805618405342102+4.217028617858887e-06j),(-0.0018202587962150574-9.015202522277832e-07j),(-0.0018127784132957458+1.9043684005737305e-05j),(-0.0018207654356956482-7.674098014831543e-07j),(-0.0018263310194015503-2.816319465637207e-06j),(-0.0018168091773986816+8.940696716308594e-07j),(-0.0018114373087882996+1.8149614334106445e-05j),(-0.001825176179409027-1.3485550880432129e-06j),(-0.0018166154623031616+1.1183321475982666e-05j),(-0.0018232613801956177+5.736947059631348e-07j),(-0.001819618046283722+5.170702934265137e-06j),(-0.0018118172883987427+7.987022399902344e-06j),(-0.0018161013722419739+7.599592208862305e-06j),(-0.0018225610256195068-1.3485550880432129e-06j),(-0.0018107369542121887+1.150369644165039e-05j)
115,(-0.00180082768201828+1.17570161819458e-05j),(-0.0018115639686584473+1.214444637298584e-05j),(-0.0018077939748764038+1.4699995517730713e-05j),(-0.0018127188086509705+1.2136995792388916e-05j),(-0.0018258839845657349+4.9173831939697266e-06j),(-0.001804850995540619+9.074807167053223e-06j),(-0.0018192976713180542+6.332993507385254e-07j),(-0.0018147006630897522+1.4506280422210693e-05j),(-0.0018118247389793396+1.2136995792388916e-05j),(-0.0018204525113105774+6.1318278312683105e-06j),(-0.0018151476979255676+1.1116266250610352e-05j),(-0.0017968639731407166+2.1852552890777588e-05j),(-0.0018232017755508423+3.829598426818848e-06j),(-0.0018018484115600586+1.5333294868469238e-05j),(-0.0018219873309135437+1.7881393432617188e-06j),(-0.0018044710159301758+2.7924776077270508e-05j),(-0.0018007606267929077+1.3612210750579834e-05j),(-0.0018090084195137024+1.8790364265441895e-05j),(-0.0018195509910583496+1.284480094909668e-05j),(-0.0018184706568717957+2.294778823852539e-06j),(-0.0018240287899971008+2.041459083557129e-06j)
116,(-0.0018069595098495483+1.33514404296875e-05j),(-0.0018180236220359802+4.597008228302002e-06j),(-0.0018086880445480347+5.170702934265137e-06j),(-0.0018177628517150879+5.111098289489746e-06j),(-0.0018305480480194092+1.0207295417785645e-06j),(-0.0018162280321121216+2.168118953704834e-06j),(-0.001813739538192749+4.023313522338867e-06j),(-0.0018355324864387512-3.1962990760803223e-06j),(-0.0018217936158180237+5.62518835067749e-06j),(-0.0018353387713432312-1.0617077350616455e-05j),(-0.001818530261516571+3.0025839805603027e-06j),(-0.0018148273229599+6.452202796936035e-06j),(-0.0018236488103866577+6.51925802230835e-06j),(-0.0018317624926567078-1.9222497940063477e-06j),(-0.001816295087337494+7.152557373046875e-06j),(-0.00182274729013443-5.37186861038208e-06j),(-0.0018247291445732117+7.152557373046875e-06j),(-0.0018185973167419434+8.113682270050049e-06j),(-0.0018238350749015808+1.7210841178894043e-06j),(-0.0018292069435119629-6.2659382820129395e-06j),(-0.0018265172839164734+1.0348856449127197e-05j)
117,(-0.0018145069479942322+7.860362529754639e-06j),(-0.0018378347158432007-9.611248970031738e-07j),(-0.001826263964176178+4.723668098449707e-06j),(-0.0018242821097373962+4.984438419342041e-06j),(-0.0018150806427001953-6.407499313354492e-07j),(-0.0018240287899971008+1.4677643775939941e-06j),(-0.0018063262104988098+2.409517765045166e-05j),(-0.0018092021346092224+2.1085143089294434e-05j),(-0.001827925443649292+3.129243850708008e-07j),(-0.0018288195133209229+1.5273690223693848e-06j),(-0.0018226206302642822-1.7955899238586426e-06j),(-0.001835659146308899-5.5655837059021e-06j),(-0.0018137991428375244+5.938112735748291e-06j),(-0.0018228814005851746+9.775161743164062e-06j),(-0.0018324628472328186-6.705522537231445e-08j),(-0.0018202587962150574+3.956258296966553e-06j),(-0.0018240287899971008+5.304813385009766e-06j),(-0.0018221139907836914+1.0415911674499512e-05j),(-0.0018187910318374634+1.0542571544647217e-05j),(-0.0018255636096000671+7.793307304382324e-06j),(-0.001834765076637268-3.3229589462280273e-06j)
118,(-0.0018154680728912354+1.4886260032653809e-05j),(-0.001818530261516571+1.0348856449127197e-05j),(-0.001818530261516571+1.4379620552062988e-05j),(-0.0018119513988494873+1.1689960956573486e-05j),(-0.0018207058310508728+1.1473894119262695e-06j),(-0.0018069669604301453+2.1472573280334473e-05j),(-0.0018127784132957458+1.648813486099243e-05j),(-0.0018101558089256287+1.6100704669952393e-05j),(-0.0018062591552734375+1.76355242729187e-05j),(-0.0018256902694702148+1.0475516319274902e-05j),(-0.0018137991428375244+1.0475516319274902e-05j),(-0.0018270984292030334+5.364418029785156e-06j),(-0.0018146336078643799+1.6041100025177002e-05j),(-0.0018171295523643494+9.261071681976318e-06j),(-0.0018299072980880737+2.555549144744873e-06j),(-0.001818723976612091+5.237758159637451e-06j),(-0.0018239021301269531+8.434057235717773e-06j),(-0.0018257573246955872+1.9744038581848145e-06j),(-0.0018109232187271118+1.4759600162506104e-05j),(-0.0018215402960777283+1.2718141078948975e-05j),(-0.0018180236220359802+1.2010335922241211e-05j)
119,(-0.0018292665481567383+1.0207295417785645e-06j),(-0.0018346384167671204-7.800757884979248e-06j),(-0.0018440335988998413-1.4387071132659912e-05j),(-0.0018431395292282104-3.516674041748047e-06j),(-0.0018268376588821411-2.7492642402648926e-06j),(-0.0018412843346595764-9.015202522277832e-06j),(-0.0018196851015090942+8.754432201385498e-06j),(-0.0018206387758255005+3.5762786865234375e-06j),(-0.00182313472032547+8.627772331237793e-06j),(-0.0018150806427001953+1.6421079635620117e-05j),(-0.0018221735954284668+4.470348358154297e-07j),(-0.0018189772963523865+8.687376976013184e-06j),(-0.001827739179134369-2.175569534301758e-06j),(-0.001820385456085205+1.9297003746032715e-05j),(-0.0018150806427001953+1.7449259757995605e-05j),(-0.001817256212234497+8.434057235717773e-06j),(-0.0018239021301269531+1.5400350093841553e-05j),(-0.0018191710114479065+9.134411811828613e-06j),(-0.0018244758248329163+5.431473255157471e-06j),(-0.0018269717693328857+4.470348358154297e-06j),(-0.0018242821097373962+8.180737495422363e-06j)
120,(-0.0018414780497550964-6.780028343200684e-06j),(-0.0018265247344970703-5.811452865600586e-07j),(-0.0018279924988746643-7.078051567077637e-07j),(-0.0018296539783477783-7.286667823791504e-06j),(-0.0018156543374061584+1.2718141078948975e-05j),(-0.0018175765872001648+1.1056661605834961e-05j),(-0.0018207058310508728+8.687376976013184e-06j),(-0.0018250495195388794+9.454786777496338e-06j),(-0.0018391162157058716+0j),(-0.0018151476979255676+9.074807167053223e-06j),(-0.0018175765872001648+3.956258296966553e-06j),(-0.0018162280321121216+1.5206634998321533e-05j),(-0.0018243491649627686+6.258487701416016e-06j),(-0.0018188506364822388+2.1986663341522217e-05j),(-0.0018267780542373657+5.431473255157471e-06j),(-0.0018125250935554504+2.7097761631011963e-05j),(-0.0018065795302391052+2.32011079788208e-05j),(-0.001808561384677887+1.4059245586395264e-05j),(-0.0018270313739776611+7.793307304382324e-06j),(-0.0018315091729164124+2.1085143089294434e-06j),(-0.0018386021256446838+3.0025839805603027e-06j)
